
instance,run_group,run_id,repeat,population_size,generations,mutation_rate,best_value,cpu_time
dat/pb_100rnd0100.dat,pop_size,1,1,100,500,0.5,372,2.085
dat/pb_100rnd0100.dat,pop_size,1,2,100,500,0.5,372,1.87
dat/pb_100rnd0100.dat,pop_size,1,3,100,500,0.5,372,1.872
dat/pb_100rnd0100.dat,pop_size,2,1,150,500,0.5,372,2.825
dat/pb_100rnd0100.dat,pop_size,2,2,150,500,0.5,372,2.789
dat/pb_100rnd0100.dat,pop_size,2,3,150,500,0.5,372,3.18
dat/pb_100rnd0100.dat,pop_size,3,1,200,500,0.5,372,4.425
dat/pb_100rnd0100.dat,pop_size,3,2,200,500,0.5,372,4.427
dat/pb_100rnd0100.dat,pop_size,3,3,200,500,0.5,372,4.472
dat/pb_100rnd0100.dat,generations,4,1,200,100,0.5,372,1.089
dat/pb_100rnd0100.dat,generations,4,2,200,100,0.5,372,1.031
dat/pb_100rnd0100.dat,generations,4,3,200,100,0.5,372,1.018
dat/pb_100rnd0100.dat,generations,5,1,200,250,0.5,372,2.313
dat/pb_100rnd0100.dat,generations,5,2,200,250,0.5,372,2.299
dat/pb_100rnd0100.dat,generations,5,3,200,250,0.5,372,2.259
dat/pb_100rnd0100.dat,generations,6,1,200,500,0.5,372,4.36
dat/pb_100rnd0100.dat,generations,6,2,200,500,0.5,372,4.383
dat/pb_100rnd0100.dat,generations,6,3,200,500,0.5,372,4.394
dat/pb_100rnd0100.dat,mutation,7,1,200,500,0.1,372,3.518
dat/pb_100rnd0100.dat,mutation,7,2,200,500,0.1,372,3.587
dat/pb_100rnd0100.dat,mutation,7,3,200,500,0.1,372,3.604
dat/pb_100rnd0100.dat,mutation,8,1,200,500,0.5,372,4.35
dat/pb_100rnd0100.dat,mutation,8,2,200,500,0.5,372,4.335
dat/pb_100rnd0100.dat,mutation,8,3,200,500,0.5,372,4.296
dat/pb_100rnd0100.dat,mutation,9,1,200,500,0.7,372,4.805
dat/pb_100rnd0100.dat,mutation,9,2,200,500,0.7,372,4.706
dat/pb_100rnd0100.dat,mutation,9,3,200,500,0.7,372,4.798
dat/pb_200rnd0100.dat,pop_size,1,1,100,500,0.5,409,4.075
dat/pb_200rnd0100.dat,pop_size,1,2,100,500,0.5,408,3.916
dat/pb_200rnd0100.dat,pop_size,1,3,100,500,0.5,408,3.635
dat/pb_200rnd0100.dat,pop_size,2,1,150,500,0.5,404,5.569
dat/pb_200rnd0100.dat,pop_size,2,2,150,500,0.5,416,6.716
dat/pb_200rnd0100.dat,pop_size,2,3,150,500,0.5,409,6.217
dat/pb_200rnd0100.dat,pop_size,3,1,200,500,0.5,412,7.481
dat/pb_200rnd0100.dat,pop_size,3,2,200,500,0.5,403,7.677
dat/pb_200rnd0100.dat,pop_size,3,3,200,500,0.5,410,8.065
dat/pb_200rnd0100.dat,generations,4,1,200,100,0.5,400,1.862
dat/pb_200rnd0100.dat,generations,4,2,200,100,0.5,414,2.08
dat/pb_200rnd0100.dat,generations,4,3,200,100,0.5,403,1.895
dat/pb_200rnd0100.dat,generations,5,1,200,250,0.5,399,4.175
dat/pb_200rnd0100.dat,generations,5,2,200,250,0.5,403,3.912
dat/pb_200rnd0100.dat,generations,5,3,200,250,0.5,410,4.292
dat/pb_200rnd0100.dat,generations,6,1,200,500,0.5,403,7.618
dat/pb_200rnd0100.dat,generations,6,2,200,500,0.5,408,8.045
dat/pb_200rnd0100.dat,generations,6,3,200,500,0.5,412,7.476
dat/pb_200rnd0100.dat,mutation,7,1,200,500,0.1,414,5.702
dat/pb_200rnd0100.dat,mutation,7,2,200,500,0.1,414,5.727
dat/pb_200rnd0100.dat,mutation,7,3,200,500,0.1,408,6.336
dat/pb_200rnd0100.dat,mutation,8,1,200,500,0.5,399,7.634
dat/pb_200rnd0100.dat,mutation,8,2,200,500,0.5,407,7.588
dat/pb_200rnd0100.dat,mutation,8,3,200,500,0.5,408,7.179
dat/pb_200rnd0100.dat,mutation,9,1,200,500,0.7,416,8.948
dat/pb_200rnd0100.dat,mutation,9,2,200,500,0.7,399,8.201
dat/pb_200rnd0100.dat,mutation,9,3,200,500,0.7,399,8.533
dat/pb_500rnd0300.dat,pop_size,1,1,100,500,0.5,744,16.545
dat/pb_500rnd0300.dat,pop_size,1,2,100,500,0.5,754,16.537
dat/pb_500rnd0300.dat,pop_size,1,3,100,500,0.5,730,15.946
dat/pb_500rnd0300.dat,pop_size,2,1,150,500,0.5,737,23.973
dat/pb_500rnd0300.dat,pop_size,2,2,150,500,0.5,740,24.598
dat/pb_500rnd0300.dat,pop_size,2,3,150,500,0.5,754,24.311
dat/pb_500rnd0300.dat,pop_size,3,1,200,500,0.5,744,32.789
dat/pb_500rnd0300.dat,pop_size,3,2,200,500,0.5,750,32.248
dat/pb_500rnd0300.dat,pop_size,3,3,200,500,0.5,754,33.185
dat/pb_500rnd0300.dat,generations,4,1,200,100,0.5,750,9.565
dat/pb_500rnd0300.dat,generations,4,2,200,100,0.5,748,10.161
dat/pb_500rnd0300.dat,generations,4,3,200,100,0.5,750,10.005
dat/pb_500rnd0300.dat,generations,5,1,200,250,0.5,744,18.715
dat/pb_500rnd0300.dat,generations,5,2,200,250,0.5,740,18.231
dat/pb_500rnd0300.dat,generations,5,3,200,250,0.5,755,18.412
dat/pb_500rnd0300.dat,generations,6,1,200,500,0.5,752,32.737
dat/pb_500rnd0300.dat,generations,6,2,200,500,0.5,750,32.339
dat/pb_500rnd0300.dat,generations,6,3,200,500,0.5,754,33.822
dat/pb_500rnd0300.dat,mutation,7,1,200,500,0.1,752,25.956
dat/pb_500rnd0300.dat,mutation,7,2,200,500,0.1,751,26.721
dat/pb_500rnd0300.dat,mutation,7,3,200,500,0.1,740,27.121
dat/pb_500rnd0300.dat,mutation,8,1,200,500,0.5,754,36.276
dat/pb_500rnd0300.dat,mutation,8,2,200,500,0.5,742,34.981
dat/pb_500rnd0300.dat,mutation,8,3,200,500,0.5,754,35.492
dat/pb_500rnd0300.dat,mutation,9,1,200,500,0.7,763,39.277
dat/pb_500rnd0300.dat,mutation,9,2,200,500,0.7,732,39.005
dat/pb_500rnd0300.dat,mutation,9,3,200,500,0.7,754,39.036
dat/pb_500rnd0300.dat,pop_size,1,1,100,500,0.5,1155,16.316
