instance,method,best_alpha,run,best_value,cpu_time,iterations
pb_100rnd0100.dat,ReactiveGRASP,0.7,1,365,0.463,200
pb_100rnd0100.dat,ReactiveGRASP,0.7,2,362,0.476,200
pb_100rnd0100.dat,ReactiveGRASP,0.5,3,368,0.482,200
pb_200rnd0700.dat,ReactiveGRASP,0.5,1,988,2.911,200
pb_200rnd0700.dat,ReactiveGRASP,0.7,2,992,2.899,200
pb_200rnd0700.dat,ReactiveGRASP,0.5,3,990,3.236,200
pb_500rnd0300.dat,ReactiveGRASP,0.9,1,736,30.919,200
pb_500rnd0300.dat,ReactiveGRASP,0.9,2,738,31.657,200
pb_500rnd0300.dat,ReactiveGRASP,0.9,3,736,30.425,200
pb_500rnd1500.dat,ReactiveGRASP,0.9,1,1154,66.683,200
pb_500rnd1500.dat,ReactiveGRASP,0.9,2,1142,60.643,200
pb_500rnd1500.dat,ReactiveGRASP,0.9,3,1130,55.792,200
pb_1000rnd0300.dat,ReactiveGRASP,0.9,1,589,84.613,200
pb_1000rnd0300.dat,ReactiveGRASP,0.9,2,594,88.65,200
pb_1000rnd0300.dat,ReactiveGRASP,0.9,3,583,83.26,200
